program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=990, ionext=0, numblocked=33}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=1020, ionext=30, numblocked=33}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=1020, ionext=0, numblocked=34}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=1050, ionext=30, numblocked=34}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=1050, ionext=0, numblocked=35}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=1080, ionext=30, numblocked=35}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=1080, ionext=0, numblocked=36}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=1110, ionext=30, numblocked=36}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=1110, ionext=0, numblocked=37}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=1140, ionext=30, numblocked=37}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=1140, ionext=0, numblocked=38}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=1170, ionext=30, numblocked=38}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=1170, ionext=0, numblocked=39}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=1200, ionext=30, numblocked=39}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=1200, ionext=0, numblocked=40}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=1230, ionext=30, numblocked=40}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=1230, ionext=0, numblocked=41}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=1260, ionext=30, numblocked=41}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=1260, ionext=0, numblocked=42}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=1290, ionext=30, numblocked=42}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=1290, ionext=0, numblocked=43}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=1320, ionext=30, numblocked=43}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=1320, ionext=0, numblocked=44}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=1350, ionext=30, numblocked=44}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=1350, ionext=0, numblocked=45}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=1380, ionext=30, numblocked=45}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=1380, ionext=0, numblocked=46}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=1410, ionext=30, numblocked=46}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=1410, ionext=0, numblocked=47}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=1440, ionext=30, numblocked=47}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=1440, ionext=0, numblocked=48}
program.domain.model.Process: 0 completed... {cputime=1447, ioblocking=30, cpudone=1447, ionext=7, numblocked=48}
